holiday_id,location,date,day,occasion,year,created_at,updated_at
2,delhi,2026-01-01 00:00:00,Thursday,New Year,2026,2025-12-18 20:10:57.08,2025-12-18 20:10:57.08
3,delhi,2026-01-26 00:00:00,Monday,Republic Day,2026,2025-12-18 20:10:57.08,2025-12-18 20:10:57.08
4,delhi,2026-03-04 00:00:00,Wednesday,Holi,2026,2025-12-18 20:10:57.08,2025-12-18 20:10:57.08
5,delhi,2026-04-03 00:00:00,Friday,Good Friday,2026,2025-12-18 20:10:57.08,2025-12-18 20:10:57.08
6,delhi,2026-08-28 00:00:00,Friday,Raksha Bandhan,2026,2025-12-18 20:10:57.08,2025-12-18 20:10:57.08
7,delhi,2026-10-02 00:00:00,Friday,Gandhi Jayanti,2026,2025-12-18 20:10:57.08,2025-12-18 20:10:57.08
8,delhi,2026-10-20 00:00:00,Tuesday,Dussehra/ Vijayadashami,2026,2025-12-18 20:10:57.08,2025-12-18 20:10:57.08
9,delhi,2026-11-09 00:00:00,Monday,Diwali / Naraka Chaturdashi,2026,2025-12-18 20:10:57.08,2025-12-18 20:10:57.08
10,delhi,2026-11-10 00:00:00,Tuesday,Diwali/ Balipadyami/ Bhai Duj,2026,2025-12-18 20:10:57.08,2025-12-18 20:10:57.08
11,delhi,2026-12-25 00:00:00,Friday,Christmas,2026,2025-12-18 20:10:57.08,2025-12-18 20:10:57.08
12,mumbai,2026-01-01 00:00:00,Thursday,New Year,2026,2025-12-18 20:12:42.726,2025-12-18 20:12:42.726
13,mumbai,2026-01-26 00:00:00,Monday,Republic Day,2026,2025-12-18 20:12:42.726,2025-12-18 20:12:42.726
14,mumbai,2026-03-04 00:00:00,Wednesday,Holi,2026,2025-12-18 20:12:42.726,2025-12-18 20:12:42.726
15,mumbai,2026-03-19 00:00:00,Thursday,Gudi Padwa,2026,2025-12-18 20:12:42.726,2025-12-18 20:12:42.726
16,mumbai,2026-04-03 00:00:00,Friday,Good Friday,2026,2025-12-18 20:12:42.726,2025-12-18 20:12:42.726
17,mumbai,2026-05-01 00:00:00,Friday,Maharashtra Day,2026,2025-12-18 20:12:42.726,2025-12-18 20:12:42.726
18,mumbai,2026-09-14 00:00:00,Monday,Ganesh Chaturthi,2026,2025-12-18 20:12:42.726,2025-12-18 20:12:42.726
19,mumbai,2026-10-02 00:00:00,Friday,Gandhi Jayanti,2026,2025-12-18 20:12:42.726,2025-12-18 20:12:42.726
20,mumbai,2026-10-20 00:00:00,Tuesday,Dussehra/ Vijayadashami,2026,2025-12-18 20:12:42.726,2025-12-18 20:12:42.726
21,mumbai,2026-11-09 00:00:00,Monday,Diwali / Naraka Chaturdashi,2026,2025-12-18 20:12:42.726,2025-12-18 20:12:42.726
22,mumbai,2026-11-10 00:00:00,Tuesday,Diwali/ Balipadyami/ Bhai Duj,2026,2025-12-18 20:12:42.726,2025-12-18 20:12:42.726
23,mumbai,2026-12-25 00:00:00,Friday,Christmas,2026,2025-12-18 20:12:42.726,2025-12-18 20:12:42.726
24,bangalore,2026-01-01 00:00:00,Thursday,New Year,2026,2025-12-18 20:13:24.529,2025-12-18 20:13:24.529
25,bangalore,2026-01-26 00:00:00,Monday,Republic Day,2026,2025-12-18 20:13:24.529,2025-12-18 20:13:24.529
26,bangalore,2026-03-04 00:00:00,Wednesday,Holi,2026,2025-12-18 20:13:24.529,2025-12-18 20:13:24.529
27,bangalore,2026-04-03 00:00:00,Friday,Good Friday,2026,2025-12-18 20:13:24.529,2025-12-18 20:13:24.529
28,bangalore,2026-09-14 00:00:00,Monday,Ganesh Chaturthi,2026,2025-12-18 20:13:24.529,2025-12-18 20:13:24.529
29,bangalore,2026-10-02 00:00:00,Friday,Gandhi Jayanti,2026,2025-12-18 20:13:24.529,2025-12-18 20:13:24.529
30,bangalore,2026-10-20 00:00:00,Tuesday,Dussehra/ Vijayadashami,2026,2025-12-18 20:13:24.529,2025-12-18 20:13:24.529
31,bangalore,2026-11-09 00:00:00,Monday,Diwali / Naraka Chaturdashi,2026,2025-12-18 20:13:24.529,2025-12-18 20:13:24.529
32,bangalore,2026-11-10 00:00:00,Tuesday,Diwali/ Balipadyami/ Bhai Duj,2026,2025-12-18 20:13:24.529,2025-12-18 20:13:24.529
33,bangalore,2026-12-25 00:00:00,Friday,Christmas,2026,2025-12-18 20:13:24.529,2025-12-18 20:13:24.529
