role_id,name,created_at,updated_at
1,superadmin,2025-11-25 11:12:17.469,2025-11-25 11:12:17.469
2,admin,2025-11-25 11:12:17.469,2025-11-25 11:12:17.469
3,partner,2025-11-25 11:12:17.469,2025-11-25 11:12:17.469
4,sr-associate,2025-11-25 11:12:17.469,2025-11-25 11:12:17.469
5,associate,2025-11-25 11:12:17.469,2025-11-25 11:12:17.469
6,counsel,2025-11-25 11:12:17.469,2025-11-25 11:12:17.469
7,intern,2025-11-25 11:12:17.469,2025-11-25 11:12:17.469
8,support,2025-11-25 11:12:17.469,2025-11-25 11:12:17.469
9,it,2025-11-25 11:12:17.469,2025-11-25 11:12:17.469
10,hr,2025-11-25 11:12:17.469,2025-11-25 11:12:17.469
11,accountant,2025-11-25 11:12:17.469,2025-11-25 11:12:17.469
