task_id,client_id,matter_id,task_name,description,assigned_by,priority,due_date,status,comments,active_status,created_at,updated_at
11,2,,Help,,10,medium,2025-12-23 00:00:00,todo,,t,2025-12-24 10:36:58.893,2025-12-29 16:26:02.782
3,2,,Coding,,10,medium,2025-12-24 00:00:00,todo,,t,2025-12-24 08:12:03.008,2025-12-24 08:14:57.237
4,2,,Test Task,,10,medium,2025-12-24 00:00:00,todo,,t,2025-12-24 09:30:33.177,2025-12-24 09:44:15.544
6,2,,JOhn doe,,10,medium,2025-12-24 00:00:00,todo,,t,2025-12-24 09:51:31.925,2025-12-24 09:51:39.67
10,2,,Neston,,10,medium,2025-12-23 00:00:00,todo,,t,2025-12-24 10:20:10.611,2025-12-24 10:20:47.917
1,,,Meeting,,3,medium,2025-12-30 00:00:00,completed,,t,2025-12-19 10:39:14.709,2025-12-24 06:48:23.052
7,,,Test 2,,10,medium,2025-12-22 00:00:00,todo,,t,2025-12-24 09:54:20.323,2025-12-24 09:54:23.962
13,,,Filing,,,high,2025-12-23 00:00:00,todo,,t,2025-12-24 12:26:41.922,2025-12-24 12:26:41.922
12,,,Sort Papers,,,low,2025-12-24 00:00:00,todo,,t,2025-12-24 12:21:53.03,2025-12-24 12:27:16.602
14,,,Intro ,sd,3,medium,2026-01-05 00:00:00,todo,,t,2026-01-02 06:52:57.528,2026-01-02 06:53:05.477
15,,,dd,,3,medium,2026-01-06 00:00:00,todo,,t,2026-01-02 06:53:50.383,2026-01-02 06:54:15.432
16,,,dsf,v,3,medium,2026-01-01 00:00:00,todo,,t,2026-01-02 06:56:31.424,2026-01-02 06:57:07.881
17,,,Work,,10,high,2026-01-03 00:00:00,todo,,t,2026-01-03 06:41:46.053,2026-01-03 06:41:46.053
